recording_id,outer_fold,model,alpha,inner_fold,mean_r2,n_validation_samples,selected
GROUP,1,M3_mel_syl_boundary,1000.0,1,0.29873165454466977,32130,False
GROUP,1,M3_mel_syl_boundary,1000.0,2,0.24456354245627587,42840,False
GROUP,1,M3_mel_syl_boundary,1000.0,3,0.37899287309982954,41650,False
GROUP,1,M3_mel_syl_boundary,1000.0,mean,0.33453591305514985,159460,True
GROUP,1,M4_mel_syl_structure,0.001,0,0.4096190068279828,42840,False
GROUP,1,M4_mel_syl_structure,0.001,1,0.3644399256820501,32130,False
GROUP,1,M4_mel_syl_structure,0.001,2,0.20057807279411421,42840,False
GROUP,1,M4_mel_syl_structure,0.001,3,0.4127081112767568,41650,False
GROUP,1,M4_mel_syl_structure,0.001,mean,0.3451623638395323,159460,False
GROUP,1,M4_mel_syl_structure,0.01,0,0.4096190302428322,42840,False
GROUP,1,M4_mel_syl_structure,0.01,1,0.36443994817992054,32130,False
GROUP,1,M4_mel_syl_structure,0.01,2,0.20057811243077017,42840,False
GROUP,1,M4_mel_syl_structure,0.01,3,0.41270814681854195,41650,False
GROUP,1,M4_mel_syl_structure,0.01,mean,0.3451623945951978,159460,False
GROUP,1,M4_mel_syl_structure,0.1,0,0.4096192643006352,42840,False
GROUP,1,M4_mel_syl_structure,0.1,1,0.36444017307188015,32130,False
GROUP,1,M4_mel_syl_structure,0.1,2,0.20057850864215288,42840,False
GROUP,1,M4_mel_syl_structure,0.1,3,0.4127085021197494,41650,False
GROUP,1,M4_mel_syl_structure,0.1,mean,0.3451627020378535,159460,False
GROUP,1,M4_mel_syl_structure,1.0,0,0.40962159597120007,42840,False
GROUP,1,M4_mel_syl_structure,1.0,1,0.3644424134242359,32130,False
GROUP,1,M4_mel_syl_structure,1.0,2,0.2005824554071105,42840,False
GROUP,1,M4_mel_syl_structure,1.0,3,0.4127120436551289,41650,False
GROUP,1,M4_mel_syl_structure,1.0,mean,0.34516576522390346,159460,False
GROUP,1,M4_mel_syl_structure,10.0,0,0.4096441512510792,42840,False
GROUP,1,M4_mel_syl_structure,10.0,1,0.3644640510894278,32130,False
GROUP,1,M4_mel_syl_structure,10.0,2,0.2006205383877122,42840,False
GROUP,1,M4_mel_syl_structure,10.0,3,0.41274646527850234,41650,False
GROUP,1,M4_mel_syl_structure,10.0,mean,0.3451954066504375,159460,False
GROUP,1,M4_mel_syl_structure,100.0,0,0.4098351516197115,42840,False
GROUP,1,M4_mel_syl_structure,100.0,1,0.36464085838022386,32130,False
GROUP,1,M4_mel_syl_structure,100.0,2,0.20092622733667442,42840,False
GROUP,1,M4_mel_syl_structure,100.0,3,0.4130444253963208,41650,False
GROUP,1,M4_mel_syl_structure,100.0,mean,0.3454422963251281,159460,False
GROUP,1,M4_mel_syl_structure,1000.0,0,0.4110150367620756,42840,False
GROUP,1,M4_mel_syl_structure,1000.0,1,0.36570619504679436,32130,False
GROUP,1,M4_mel_syl_structure,1000.0,2,0.202511476663779,42840,False
GROUP,1,M4_mel_syl_structure,1000.0,3,0.4150253034816457,41650,False
GROUP,1,M4_mel_syl_structure,1000.0,mean,0.3469172191899389,159460,True
GROUP,1,M5_full,0.001,0,0.4118134301259141,42840,False
GROUP,1,M5_full,0.001,1,0.39204076821469436,32130,False
GROUP,1,M5_full,0.001,2,0.25250419330862206,42840,False
GROUP,1,M5_full,0.001,3,0.36222249212989976,41650,False
GROUP,1,M5_full,0.001,mean,0.3520770329103473,159460,False
GROUP,1,M5_full,0.01,0,0.4118134516847797,42840,False
GROUP,1,M5_full,0.01,1,0.3920408395193803,32130,False
GROUP,1,M5_full,0.01,2,0.2525042233189926,42840,False
GROUP,1,M5_full,0.01,3,0.36222252356480755,41650,False
GROUP,1,M5_full,0.01,mean,0.3520770693427413,159460,False
GROUP,1,M5_full,0.1,0,0.41181366718247026,42840,False
GROUP,1,M5_full,0.1,1,0.3920415523930094,32130,False
GROUP,1,M5_full,0.1,2,0.2525045232646461,42840,False
GROUP,1,M5_full,0.1,3,0.36222283780183206,41650,False
GROUP,1,M5_full,0.1,mean,0.3520774335356087,159460,False
GROUP,1,M5_full,1.0,0,0.41181581322641425,42840,False
GROUP,1,M5_full,1.0,1,0.3920486640599625,32130,False
GROUP,1,M5_full,1.0,2,0.2525075071019667,42840,False
GROUP,1,M5_full,1.0,3,0.3622259691334303,41650,False
GROUP,1,M5_full,1.0,mean,0.3520810625456027,159460,False
GROUP,1,M5_full,10.0,0,0.4118365110226708,42840,False
GROUP,1,M5_full,10.0,1,0.39211828163608986,32130,False
GROUP,1,M5_full,10.0,2,0.25253594322920236,42840,False
GROUP,1,M5_full,10.0,3,0.36225631857299634,41650,False
GROUP,1,M5_full,10.0,mean,0.35211621721863234,159460,False
GROUP,1,M5_full,100.0,0,0.4120089893789588,42840,False
GROUP,1,M5_full,100.0,1,0.39274022195615643,32130,False
GROUP,1,M5_full,100.0,2,0.25274649994099374,42840,False
GROUP,1,M5_full,100.0,3,0.36251352673341364,41650,False
GROUP,1,M5_full,100.0,mean,0.3524116197313731,159460,False
GROUP,1,M5_full,1000.0,0,0.41300171413468667,42840,False
GROUP,1,M5_full,1000.0,1,0.39729650559303886,32130,False
GROUP,1,M5_full,1000.0,2,0.25352082952844146,42840,False
GROUP,1,M5_full,1000.0,3,0.3641117539732861,41650,False
GROUP,1,M5_full,1000.0,mean,0.3542218553130573,159460,True
GROUP,2,M1_mel,0.001,0,0.38659752046499873,42840,False
GROUP,2,M1_mel,0.001,1,0.33098984495774975,32130,False
GROUP,2,M1_mel,0.001,2,0.23744678497767668,42840,False
GROUP,2,M1_mel,0.001,3,0.378803850538202,41650,False
GROUP,2,M1_mel,0.001,mean,0.33328698193009426,159460,False
GROUP,2,M1_mel,0.01,0,0.38659753949421705,42840,False
GROUP,2,M1_mel,0.01,1,0.3309898781413829,32130,False
GROUP,2,M1_mel,0.01,2,0.2374468105547085,42840,False
GROUP,2,M1_mel,0.01,3,0.37880386978968483,41650,False
GROUP,2,M1_mel,0.01,mean,0.3332870056284898,159460,False
GROUP,2,M1_mel,0.1,0,0.38659772969778483,42840,False
GROUP,2,M1_mel,0.1,1,0.33099020982919003,32130,False
GROUP,2,M1_mel,0.1,2,0.23744706624820078,42840,False
GROUP,2,M1_mel,0.1,3,0.37880406223165075,41650,False
GROUP,2,M1_mel,0.1,mean,0.3332872425190402,159460,False
GROUP,2,M1_mel,1.0,0,0.38659962302236883,42840,False
GROUP,2,M1_mel,1.0,1,0.33099351208132033,32130,False
GROUP,2,M1_mel,1.0,2,0.23744961564973,42840,False
GROUP,2,M1_mel,1.0,3,0.3788059794909535,41650,False
GROUP,2,M1_mel,1.0,mean,0.3332896022430939,159460,False
GROUP,2,M1_mel,10.0,0,0.386617806564324,42840,False
